City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Windspeed,Country,Date
239,port hedland,-20.3167,118.5667,80.65,36,100,9.22,AU,1682987552
240,minab,27.1467,57.0801,78.19,50,0,0.96,IR,1682987552
241,lerwick,60.1545,-1.1494,41.0,70,95,16.28,GB,1682987553
242,ilovlya,49.3033,43.9796,51.28,81,100,6.06,RU,1682987553
243,harnai,30.1005,67.9374,69.6,55,100,0.31,PK,1682987553
244,talnakh,69.4865,88.3972,11.88,82,52,1.34,RU,1682987553
245,east london,-33.0153,27.9116,62.71,75,100,7.87,ZA,1682987553
246,geiro,-6.15,36.8667,62.01,98,92,2.15,TZ,1682987553
247,sanctuary point,-35.1114,150.629,67.98,50,7,8.5,AU,1682987554
248,kayangel,8.0823,134.7173,83.82,75,100,12.35,PW,1682987554
249,bay roberts,47.5999,-53.2648,36.05,87,100,5.99,CA,1682987554
250,trang,7.5,99.5,78.75,100,40,2.3,TH,1682987554
251,selfoss,63.9331,-20.9971,38.05,71,99,4.99,IS,1682987554
252,laguna,38.421,-121.4238,63.32,62,100,12.66,US,1682987554
253,conception bay south,47.4999,-52.9981,35.44,91,100,14.52,CA,1682987555
254,hasaki,35.7333,140.8333,63.28,47,0,11.83,JP,1682987555
255,altay,47.8667,88.1167,32.95,61,31,6.91,CN,1682987555
256,namtsy,62.7161,129.6658,34.68,99,100,2.93,RU,1682987555
257,new norfolk,-42.7826,147.0587,60.93,70,100,2.01,AU,1682987555
258,kingston,17.997,-76.7936,83.35,86,20,17.27,JM,1682987344
259,praia da vitoria,38.7333,-27.0667,61.75,77,20,12.08,PT,1682987555
260,chingirlau,51.095,54.0814,57.07,35,85,11.77,KZ,1682987556
261,wuyang,31.9925,116.2472,74.39,40,7,7.94,CN,1682987556
262,burutu,5.3509,5.5076,77.95,82,100,4.83,NG,1682987556
263,yen vinh,18.6667,105.6667,77.23,76,2,2.28,VN,1682987547
264,poronaysk,49.2167,143.1167,45.55,53,100,7.92,RU,1682987556
265,guerrero negro,27.9769,-114.0611,61.88,66,0,17.94,MX,1682987556
266,margaret river,-33.95,115.0667,57.56,68,0,6.49,AU,1682987557
267,kas,36.2018,29.6377,60.49,63,41,2.55,TR,1682987557
268,asau,46.4333,26.4,36.52,78,0,1.95,RO,1682987557
269,sitka,57.0531,-135.33,46.29,76,100,9.22,US,1682987557
270,mayya,61.7333,130.2811,42.12,95,100,3.69,RU,1682987557
271,flying fish cove,-10.4217,105.6791,81.36,78,38,15.37,CX,1682987557
272,holualoa,19.6228,-155.9522,76.84,83,75,9.22,US,1682987558
273,hamilton,39.1834,-84.5333,43.93,92,100,21.85,US,1682987423
274,iquique,-20.2208,-70.1431,68.04,84,15,5.19,CL,1682987558
275,tazovsky,67.4667,78.7,10.11,100,100,4.21,RU,1682987534
